physdx_cdrsb,npdx,npdx_nacc_uds_equivalent,algdx,ref_uri
"9.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.5","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"18.0","dementia","demented=1","dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
